Years,Mining,Construction,Manufacturing
1980,90799,131511,558321
1981,121515,133132,619646
1982,118521,131030,606473
1983,102770,139561,657491
1984,107175,160733,731763
1985,106221,176960,751429
1986,70338,197182,777365
1987,73064,210086,823105
1988,74057,226455,900188
1989,78552,238579,950157
1990,88388,243557,968904
1991,79485,228763,976651
1992,73589,233172,1016703
1993,74419,250373,1058923
1994,75906,277243,1127344
1995,76720,294224,1180877
1996,90049,320876,1208476
1997,94849,346739,1277280
1998,81002,428385,1368062
1999,82027,467308,1415649
2000,108889,490525,1343930
2001,119296,494328,1355537
2002,109462,516071,1374304
2003,134851,554197,1482669
2004,159347,612524,1569324
2005,192269,650970,1648357
2006,229814,653786,1698022
2007,254545,614204,1628498
2008,319166,541905,1540226
2009,213366,511639,1701937
2010,239511,520340,1837031
2011,287584,NA,NA
