Incentive_Key,State,Incentive_Type,Creation_Date,Start Year,End Year
3933,Connecticut,Utility Rebate Program,26-Jan-10,2010,
3415,Minnesota,Utility Rebate Program,05-Jun-09,2009,
3130,Oregon,Utility Rebate Program,12-Nov-08,2008,
2359,New Jersey,State Rebate Program,01-Dec-06,2006,
2620,Oregon,Utility Rebate Program,27-Jun-07,2007,
1185,Pennsylvania,State Grant Program,30-Jun-05,2005,
2239,Washington,Utility Rebate Program,20-Sep-06,2006,
1334,Massachusetts,Utility Rebate Program,12-Apr-06,2006,
3879,Illinois,Utility Rebate Program,05-Jan-10,2010,
3466,North Carolina,Utility Rebate Program,20-Jun-09,2009,
3194,Wisconsin,Utility Rebate Program,01-Jan-09,2009,
3425,New York,State Rebate Program,09-Jun-09,2009,
3887,Connecticut,Utility Rebate Program,08-Jan-10,2010,
3969,New Hampshire,State Loan Program,12-Feb-10,2010,
3970,New Hampshire,State Loan Program,12-Feb-10,2010,
1442,Wyoming,Utility Loan Program,29-Apr-06,2006,2009
1321,Connecticut,Utility Rebate Program,11-Apr-06,2006,
2079,New Hampshire,State Rebate Program,28-Aug-06,2006,2006
2177,New Hampshire,Utility Rebate Program,15-Sep-06,2006,
1589,Minnesota,Utility Rebate Program,11-Jun-06,2006,
1292,Wisconsin,State Rebate Program,09-Mar-06,2006,
3436,Ohio,Utility Rebate Program,11-Jun-09,2009,
3153,Oregon,State Rebate Program,21-Nov-08,2008,
3017,Massachusetts,Utility Rebate Program,22-Jul-08,2008,
3172,Washington,Utility Rebate Program,10-Dec-08,2008,
3275,Washington,Utility Rebate Program,18-Feb-09,2009,
2050,Wisconsin,Utility Rebate Program,28-Aug-06,2006,
1763,Colorado,Utility Rebate Program,10-Jul-06,2006,
2253,Minnesota,Utility Rebate Program,21-Sep-06,2006,
2370,New Hampshire,Utility Rebate Program,04-Jan-07,2007,
3019,New York,Utility Rebate Program,23-Jul-08,2008,
2074,New Hampshire,State Loan Program,28-Aug-06,2006,
1866,California,Utility Rebate Program,27-Jul-06,2006,
2184,Oregon,Utility Rebate Program,15-Sep-06,2006,
2207,Washington,Utility Rebate Program,18-Sep-06,2006,
2205,Washington,Utility Rebate Program,18-Sep-06,2006,
2208,Washington,Utility Rebate Program,18-Sep-06,2006,
1323,Connecticut,Utility Rebate Program,11-Apr-06,2006,
1279,Ohio,State Grant Program,25-Jan-06,2006,
1379,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1313,Connecticut,Utility Rebate Program,10-Apr-06,2006,
1320,Connecticut,Utility Rebate Program,11-Apr-06,2006,
1383,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1374,New Hampshire,Utility Rebate Program,18-Apr-06,2006,
4005,California,Utility Rebate Program,26-Feb-10,2010,
1381,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1390,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1394,New Hampshire,Utility Rebate Program,19-Apr-06,2006,
1645,Idaho,Utility Rebate Program,22-Jun-06,2006,
4119,Colorado,Local Rebate Program,03-May-10,2010,
1456,California,Utility Rebate Program,03-May-06,2006,
1458,California,Utility Rebate Program,03-May-06,2006,
1556,Wisconsin,Utility Rebate Program,31-May-06,2006,
1580,Colorado,Utility Rebate Program,05-Jun-06,2006,
2640,Ohio,Utility Rebate Program,29-Jul-07,2007,
3375,Vermont,State Rebate Program,14-May-09,2009,
3333,Nebraska,Utility Rebate Program,06-Apr-09,2009,
3577,Minnesota,Utility Grant Program,05-Aug-09,2009,
4207,Tennessee,Utility Rebate Program,10-Jun-10,2010,
4325,Wisconsin,State Rebate Program,31-Aug-10,2010,
1352,Rhode Island,Utility Rebate Program,17-Apr-06,2006,
1421,Florida,Utility Rebate Program,25-Apr-06,2006,
1316,Connecticut,Utility Rebate Program,10-Apr-06,2006,
3606,South Carolina,Utility Rebate Program,12-Aug-09,2009,
3256,Arizona,Utility Rebate Program,09-Feb-09,2009,
2004,New York,Utility Rebate Program,21-Aug-06,2006,
2176,New Hampshire,Utility Rebate Program,15-Sep-06,2006,
2449,Minnesota,Utility Rebate Program,19-Mar-07,2007,
3979,Kentucky,State Loan Program,16-Feb-10,2010,
3118,Arizona,Utility Rebate Program,05-Nov-08,2008,
1767,Colorado,Utility Rebate Program,11-Jul-06,2006,
1770,Colorado,Utility Rebate Program,11-Jul-06,2006,
1399,Connecticut,Utility Rebate Program,20-Apr-06,2006,
1396,Massachusetts,Utility Rebate Program,20-Apr-06,2006,
2448,Minnesota,Utility Rebate Program,19-Mar-07,2007,
3250,Washington,Utility Rebate Program,05-Feb-09,2009,
3377,Massachusetts,Utility Rebate Program,14-May-09,2009,
3082,Texas,Utility Rebate Program,23-Sep-08,2008,
3488,Massachusetts,Local Rebate Program,08-Jul-09,2009,
3930,Connecticut,Utility Rebate Program,25-Jan-10,2010,
3726,Virginia,State Rebate Program,09-Oct-09,2009,2010
4317,Wisconsin,State Rebate Program,24-Aug-10,2010,
3798,Vermont,State Loan Program,07-Oct-09,2009,
3799,Maryland,State Loan Program,07-Dec-09,2009,
3934,Connecticut,Utility Rebate Program,26-Jan-10,2010,
