Incentive_Key,State,Incentive_Type,Creation_Date,Start Year,End Year
3933,Connecticut,Utility Rebate Program,26-Jan-10,2010,
3536,Vermont,PACE Financing,15-Jul-09,2009,
3540,Ohio,Utility Rebate Program,15-Jul-09,2009,
1185,Pennsylvania,State Grant Program,30-Jun-05,2005,
2239,Washington,Utility Rebate Program,20-Sep-06,2006,
1333,Oklahoma,State Loan Program,12-Apr-06,2006,
3853,Pennsylvania,Utility Rebate Program,16-Dec-09,2009,
3973,Wisconsin,State Rebate Program,15-Feb-10,2010,
4313,Wisconsin,State Rebate Program,24-Aug-10,2010,
3299,Colorado,PACE Financing,17-Mar-09,2009,
3739,Washington,Utility Rebate Program,26-Oct-09,2009,
3537,Ohio,Utility Rebate Program,15-Jul-09,2009,
3425,New York,State Rebate Program,09-Jun-09,2009,
3686,Hawaii,Public Benefits Fund,01-Jan-09,2009,
214,Nebraska,State Loan Program,01-Jan-00,2000,
246,Oregon,Public Benefits Fund,01-Jan-00,2000,
236,Oregon,State Loan Program,01-Jan-00,2000,
3969,New Hampshire,State Loan Program,12-Feb-10,2010,
3925,New York,State Rebate Program,20-Jan-10,2010,
3970,New Hampshire,State Loan Program,12-Feb-10,2010,
3975,Wisconsin,State Rebate Program,15-Feb-10,2010,
2108,Florida,Utility Loan Program,01-Sep-06,2006,
1326,New Jersey,State Rebate Program,11-Apr-06,2006,2007
2084,Texas,Utility Rebate Program,29-Aug-06,2006,
2593,Oregon,Utility Rebate Program,01-Jun-07,2007,
1134,Texas,State Loan Program,15-Jun-05,2005,
1203,Alabama,State Loan Program,08-Jul-05,2005,
1589,Minnesota,Utility Rebate Program,11-Jun-06,2006,
1630,California,Utility Rebate Program,22-Jun-06,2006,
1292,Wisconsin,State Rebate Program,09-Mar-06,2006,
2451,Wisconsin,Utility Rebate Program,19-Mar-07,2007,
3017,Massachusetts,Utility Rebate Program,22-Jul-08,2008,
3140,North Dakota,Utility Loan Program,17-Nov-08,2008,
3021,Rhode Island,Utility Rebate Program,23-Jul-08,2008,
2601,Nevada,Utility Rebate Program,07-Jun-07,2007,
2604,Oregon,Utility Rebate Program,13-Jun-07,2007,
3999,Kentucky,State Grant Program,15-Jan-10,2010,
3018,New York,Utility Rebate Program,23-Jul-08,2008,
2096,South Carolina,Utility Loan Program,31-Aug-06,2006,2008
2098,South Carolina,Utility Loan Program,31-Aug-06,2006,2009
2100,South Carolina,Utility Loan Program,31-Aug-06,2006,2008
3359,California,Utility Loan Program,27-Apr-09,2009,
2184,Oregon,Utility Rebate Program,15-Sep-06,2006,
2280,Georgia,Utility Rebate Program,24-Sep-06,2006,
1251,New York,Industry Recruitment/Support,22-Nov-05,2005,
1307,South Carolina,State Loan Program,27-Mar-06,2006,
1346,Vermont,Utility Rebate Program,17-Apr-06,2006,
1379,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1408,Hawaii,State Rebate Program,23-Apr-06,2006,
203,Ohio,Public Benefits Fund,01-Jan-00,2000,
683,North Carolina,State Loan Program,12-Feb-02,2002,
1320,Connecticut,Utility Rebate Program,11-Apr-06,2006,
1360,New Hampshire,Utility Rebate Program,18-Apr-06,2006,
1381,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1406,New Hampshire,Utility Rebate Program,20-Apr-06,2006,
4173,Idaho,Utility Rebate Program,27-May-10,2010,
1456,California,Utility Rebate Program,03-May-06,2006,
1533,South Dakota,Utility Loan Program,28-May-06,2006,
1516,Iowa,Utility Rebate Program,25-May-06,2006,
1556,Wisconsin,Utility Rebate Program,31-May-06,2006,
1574,Iowa,Utility Rebate Program,05-Jun-06,2006,
1580,Colorado,Utility Rebate Program,05-Jun-06,2006,
1637,Idaho,Utility Rebate Program,22-Jun-06,2006,
1638,Washington,Utility Rebate Program,22-Jun-06,2006,
1658,Montana,Utility Rebate Program,23-Jun-06,2006,
2640,Ohio,Utility Rebate Program,29-Jul-07,2007,
2835,Maine,Utility Rebate Program,27-Dec-07,2007,
638,Oregon,Personal Tax Credit,01-Jan-00,2000,
351,Pennsylvania,State Grant Program,11-Apr-05,2005,2010
470,New York,State Loan Program,20-Mar-01,2001,2010
3338,Massachusetts,Utility Rebate Program,08-Apr-09,2009,
2979,New Jersey,Utility Rebate Program,20-Jun-08,2008,
2978,New Jersey,State Rebate Program,20-Jun-08,2008,
3330,New Jersey,State Rebate Program,06-Apr-09,2009,
3904,New York,Utility Rebate Program,14-Jan-10,2010,
167,Oregon,Corporate Tax Credit,01-Jan-00,2000,
3869,Florida,PACE Financing,04-Jan-10,2010,
3355,Florida,Utility Rebate Program,23-Apr-09,2009,
4225,Florida,Utility Loan Program,25-Jun-10,2010,
1502,New Jersey,State Loan Program,22-May-06,2006,
4248,Missouri,PACE Financing,12-Jul-10,2010,
4325,Wisconsin,State Rebate Program,31-Aug-10,2010,
1606,Florida,State Grant Program,16-Jun-06,2006,2009
1421,Florida,Utility Rebate Program,25-Apr-06,2006,
