Incentive_Key,State,Incentive_Type,Creation_Date,Start Year,End Year
3933,Connecticut,Utility Rebate Program,26-Jan-10,2010,
3415,Minnesota,Utility Rebate Program,05-Jun-09,2009,
3893,Kentucky,Utility Rebate Program,11-Jan-10,2010,
3130,Oregon,Utility Rebate Program,12-Nov-08,2008,
3790,Michigan,Utility Rebate Program,07-Dec-09,2009,
2359,New Jersey,State Rebate Program,01-Dec-06,2006,
2620,Oregon,Utility Rebate Program,27-Jun-07,2007,
1126,California,State Loan Program,14-Jun-05,2005,2010
3757,Maryland,State Rebate Program,12-Nov-09,2009,
3536,Vermont,PACE Financing,15-Jul-09,2009,
2397,New York,State Rebate Program,02-Mar-07,2007,2008
2239,Washington,Utility Rebate Program,20-Sep-06,2006,
3409,Minnesota,Utility Rebate Program,02-Jun-09,2009,
1334,Massachusetts,Utility Rebate Program,12-Apr-06,2006,
4279,Colorado,Utility Rebate Program,04-Aug-10,2010,
3853,Pennsylvania,Utility Rebate Program,16-Dec-09,2009,
3879,Illinois,Utility Rebate Program,05-Jan-10,2010,
3924,Puerto Rico,State Rebate Program,20-Jan-10,2010,
3382,North Carolina,Utility Rebate Program,19-May-09,2009,
3413,Minnesota,Utility Rebate Program,04-Jun-09,2009,
3588,Tennessee,State Grant Program,01-Jun-08,2008,
3466,North Carolina,Utility Rebate Program,20-Jun-09,2009,
3739,Washington,Utility Rebate Program,26-Oct-09,2009,
3697,Colorado,Utility Rebate Program,24-Sep-09,2009,
3425,New York,State Rebate Program,09-Jun-09,2009,
3426,Wyoming,Utility Rebate Program,09-Jun-09,2009,
3591,Michigan,Utility Rebate Program,10-Aug-09,2009,
3345,Washington,Utility Rebate Program,10-Apr-09,2009,
3593,Michigan,Utility Rebate Program,10-Aug-09,2009,
3452,Missouri,Utility Rebate Program,16-Jun-09,2009,
3454,Missouri,Utility Rebate Program,16-Jun-09,2009,
3585,Colorado,Utility Rebate Program,07-Aug-09,2009,
3689,Maryland,Utility Rebate Program,23-Sep-09,2009,
2545,Minnesota,Utility Rebate Program,24-May-07,2007,
3686,Hawaii,Public Benefits Fund,01-Jan-09,2009,
1534,South Dakota,Utility Rebate Program,28-May-06,2006,
3951,Kentucky,Utility Rebate Program,02-Feb-10,2010,
1168,Vermont,State Rebate Program,21-Jun-05,2005,2007
1162,New York,State Grant Program,16-Jun-05,2005,2007
236,Oregon,State Loan Program,01-Jan-00,2000,
3887,Connecticut,Utility Rebate Program,08-Jan-10,2010,
3966,New Jersey,State Rebate Program,11-Feb-10,2010,
2106,Colorado,Utility Rebate Program,31-Aug-06,2006,
1324,Connecticut,Utility Loan Program,11-Apr-06,2006,
1520,Minnesota,Utility Rebate Program,26-May-06,2006,
1321,Connecticut,Utility Rebate Program,11-Apr-06,2006,
2079,New Hampshire,State Rebate Program,28-Aug-06,2006,2006
2250,Minnesota,Utility Grant Program,21-Sep-06,2006,
2249,Minnesota,Utility Rebate Program,20-Sep-06,2006,
1301,Colorado,Utility Rebate Program,13-Mar-06,2006,
1885,California,Utility Rebate Program,28-Jul-06,2006,
2591,Minnesota,Utility Rebate Program,01-Jun-07,2007,
2593,Oregon,Utility Rebate Program,01-Jun-07,2007,
2077,Washington,Utility Rebate Program,28-Aug-06,2006,
2254,Minnesota,Utility Grant Program,21-Sep-06,2006,2008
2206,Washington,Utility Rebate Program,18-Sep-06,2006,2009
1945,Minnesota,Utility Rebate Program,09-Aug-06,2006,
1946,Minnesota,Utility Rebate Program,09-Aug-06,2006,
