Incentive_Key,State,Incentive_Type,Creation_Date,Start Year,End Year
3933,Connecticut,Utility Rebate Program,26-Jan-10,2010,
3130,Oregon,Utility Rebate Program,12-Nov-08,2008,
3540,Ohio,Utility Rebate Program,15-Jul-09,2009,
1182,Indiana,State Loan Program,28-Jun-05,2005,2006
1185,Pennsylvania,State Grant Program,30-Jun-05,2005,
2239,Washington,Utility Rebate Program,20-Sep-06,2006,
1338,Massachusetts,Utility Loan Program,12-Apr-06,2006,
3853,Pennsylvania,Utility Rebate Program,16-Dec-09,2009,
3466,North Carolina,Utility Rebate Program,20-Jun-09,2009,
3537,Ohio,Utility Rebate Program,15-Jul-09,2009,
3425,New York,State Rebate Program,09-Jun-09,2009,
3591,Michigan,Utility Rebate Program,10-Aug-09,2009,
3686,Hawaii,Public Benefits Fund,01-Jan-09,2009,
246,Oregon,Public Benefits Fund,01-Jan-00,2000,
1184,Michigan,State Loan Program,29-Jun-04,2004,2006
1301,Colorado,Utility Rebate Program,13-Mar-06,2006,
2077,Washington,Utility Rebate Program,28-Aug-06,2006,
1592,Texas,Utility Rebate Program,12-Jun-06,2006,
1918,California,Utility Loan Program,02-Aug-06,2006,
1589,Minnesota,Utility Rebate Program,11-Jun-06,2006,
1186,Pennsylvania,State Loan Program,30-Jun-05,2005,
1292,Wisconsin,State Rebate Program,09-Mar-06,2006,
3436,Ohio,Utility Rebate Program,11-Jun-09,2009,
78,Ohio,Other Incentive,01-Jan-00,2000,2010
3999,Kentucky,State Grant Program,15-Jan-10,2010,
1763,Colorado,Utility Rebate Program,10-Jul-06,2006,
1904,California,Utility Rebate Program,01-Aug-06,2006,
3359,California,Utility Loan Program,27-Apr-09,2009,
3204,Pennsylvania,State Grant Program,12-Jan-09,2009,2010
2208,Washington,Utility Rebate Program,18-Sep-06,2006,
2297,Indiana,Utility Rebate Program,26-Sep-06,2006,
1323,Connecticut,Utility Rebate Program,11-Apr-06,2006,
1379,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1408,Hawaii,State Rebate Program,23-Apr-06,2006,
1553,Kentucky,Utility Rebate Program,31-May-06,2006,
1320,Connecticut,Utility Rebate Program,11-Apr-06,2006,
1374,New Hampshire,Utility Rebate Program,18-Apr-06,2006,
1381,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1645,Idaho,Utility Rebate Program,22-Jun-06,2006,
1456,California,Utility Rebate Program,03-May-06,2006,
1458,California,Utility Rebate Program,03-May-06,2006,
1463,California,Utility Rebate Program,03-May-06,2006,
1496,Colorado,Utility Loan Program,18-May-06,2006,
1580,Colorado,Utility Rebate Program,05-Jun-06,2006,
1618,California,Utility Rebate Program,21-Jun-06,2006,
1615,California,Utility Rebate Program,19-Jun-06,2006,
3007,New York,State Rebate Program,16-Jul-08,2008,
1684,California,Utility Rebate Program,27-Jun-06,2006,
4214,Massachusetts,Utility Rebate Program,18-Jun-10,2010,2009
3385,Maryland,Utility Rebate Program,19-May-09,2009,
1455,California,Utility Rebate Program,03-May-06,2006,
3635,Illinois,State Grant Program,26-Aug-09,2009,2009
4299,Michigan,Utility Rebate Program,19-Aug-10,2010,
4325,Wisconsin,State Rebate Program,31-Aug-10,2010,
3594,Michigan,Utility Rebate Program,10-Aug-09,2009,
3606,South Carolina,Utility Rebate Program,12-Aug-09,2009,
1165,Vermont,State Loan Program,16-Jun-05,2005,2008
3256,Arizona,Utility Rebate Program,09-Feb-09,2009,
2070,Washington,Utility Grant Program,28-Aug-06,2006,2009
1924,California,Utility Rebate Program,03-Aug-06,2006,
1767,Colorado,Utility Rebate Program,11-Jul-06,2006,
1770,Colorado,Utility Rebate Program,11-Jul-06,2006,
1399,Connecticut,Utility Rebate Program,20-Apr-06,2006,
4168,Illinois,State Loan Program,01-Jun-08,2008,
3211,Oregon,Utility Rebate Program,13-Jan-09,2009,
3129,Oregon,Utility Rebate Program,12-Nov-08,2008,
3373,Connecticut,State Rebate Program,13-May-09,2009,
3082,Texas,Utility Rebate Program,23-Sep-08,2008,
3930,Connecticut,Utility Rebate Program,25-Jan-10,2010,
3749,Minnesota,Utility Rebate Program,04-Nov-09,2009,
3716,Illinois,Utility Rebate Program,01-Jun-09,2009,
4317,Wisconsin,State Rebate Program,24-Aug-10,2010,
3798,Vermont,State Loan Program,07-Oct-09,2009,
3799,Maryland,State Loan Program,07-Dec-09,2009,
3934,Connecticut,Utility Rebate Program,26-Jan-10,2010,
4056,Vermont,State Rebate Program,01-Apr-10,2010,
3812,Illinois,Utility Rebate Program,09-Dec-09,2009,
