Incentive_Key,State,Incentive_Type,Creation_Date,Start Year,End Year
3933,Connecticut,Utility Rebate Program,26-Jan-10,2010,
3560,Missouri,Utility Rebate Program,24-Jul-09,2009,
3757,Maryland,State Rebate Program,12-Nov-09,2009,
1185,Pennsylvania,State Grant Program,30-Jun-05,2005,
3868,New York,Utility Rebate Program,25-Dec-09,2009,
3148,Indiana,Utility Rebate Program,20-Nov-08,2008,
3591,Michigan,Utility Rebate Program,10-Aug-09,2009,
3969,New Hampshire,State Loan Program,12-Feb-10,2010,
3970,New Hampshire,State Loan Program,12-Feb-10,2010,
1589,Minnesota,Utility Rebate Program,11-Jun-06,2006,
1292,Wisconsin,State Rebate Program,09-Mar-06,2006,
3017,Massachusetts,Utility Rebate Program,22-Jul-08,2008,
3021,Rhode Island,Utility Rebate Program,23-Jul-08,2008,
3018,New York,Utility Rebate Program,23-Jul-08,2008,
2354,Missouri,Utility Rebate Program,20-Nov-06,2006,
1346,Vermont,Utility Rebate Program,17-Apr-06,2006,
1379,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1320,Connecticut,Utility Rebate Program,11-Apr-06,2006,
1381,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1406,New Hampshire,Utility Rebate Program,20-Apr-06,2006,
1420,California,Utility Rebate Program,24-Apr-06,2006,
1456,California,Utility Rebate Program,03-May-06,2006,
1463,California,Utility Rebate Program,03-May-06,2006,
1556,Wisconsin,Utility Rebate Program,31-May-06,2006,
1555,Wisconsin,Utility Rebate Program,31-May-06,2006,
1580,Colorado,Utility Rebate Program,05-Jun-06,2006,
3007,New York,State Rebate Program,16-Jul-08,2008,
1684,California,Utility Rebate Program,27-Jun-06,2006,
4216,Delaware,State Rebate Program,18-Jun-10,2010,
3901,Washington,Utility Rebate Program,14-Jan-10,2010,
3905,New York,Utility Rebate Program,14-Jan-10,2010,
3065,Indiana,Utility Rebate Program,09-Sep-08,2008,
3635,Illinois,State Grant Program,26-Aug-09,2009,2009
4257,California,Utility Rebate Program,16-Jul-10,2010,
4207,Tennessee,Utility Rebate Program,10-Jun-10,2010,
4130,Illinois,Utility Rebate Program,06-May-10,2010,
4172,Washington,Utility Rebate Program,26-May-10,2010,
4325,Wisconsin,State Rebate Program,31-Aug-10,2010,
3594,Michigan,Utility Rebate Program,10-Aug-09,2009,
1402,Massachusetts,Utility Rebate Program,20-Apr-06,2006,
3979,Kentucky,State Loan Program,16-Feb-10,2010,
1399,Connecticut,Utility Rebate Program,20-Apr-06,2006,
1400,Massachusetts,Utility Rebate Program,20-Apr-06,2006,
1211,North Carolina,State Rebate Program,08-Jul-05,2005,
3820,Michigan,Utility Rebate Program,10-Dec-09,2009,
3488,Massachusetts,Local Rebate Program,08-Jul-09,2009,
3930,Connecticut,Utility Rebate Program,25-Jan-10,2010,
3747,Idaho,Utility Rebate Program,30-Oct-09,2009,
3749,Minnesota,Utility Rebate Program,04-Nov-09,2009,
3737,Washington,Utility Rebate Program,26-Oct-09,2009,
3726,Virginia,State Rebate Program,09-Oct-09,2009,2010
4317,Wisconsin,State Rebate Program,24-Aug-10,2010,
3798,Vermont,State Loan Program,07-Oct-09,2009,
3934,Connecticut,Utility Rebate Program,26-Jan-10,2010,
3805,Michigan,Utility Rebate Program,08-Dec-09,2009,
3808,Michigan,Utility Rebate Program,08-Dec-09,2009,
