ID,EADC_IAC,FY,SIC,SALES,EMPLOYEES,PLANT_AREA,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,SOURC_ELEC,USAGE_ELEC,COST_ELEC,USAGE_DEMD,COST_DEMD,ELECT_FEES,USAGE_NAT,COST_NAT,USAGE_LPG,COST_LPG,USAGE_FO1,COST_FO1,USAGE_FO2,COST_FO2,USAGE_FO4,COST_FO4,USAGE_FO6,COST_FO6,USAGE_COAL,COST_COAL,USAGE_WOOD,COST_WOOD,USAGE_PAPR,COST_PAPER,USAGE_OGAS,COST_OGAS,USAGE_OTHE,COST_OTHER,NRGCOSTTOT,TOT_WATER,COST_WATER,TOT_NHAZL,COST_NHAZL,TOT_HAZL,COST_HAZL,TOT_NHSW,COST_NHSW,TOT_HAZSW,COST_HAZSW,TOT_GASW,COST_GASW,WSTCOSTTOT,STATE,NAICS
WV0452,WV,2012,3585,175000000,375,600000,commercial chillers,1,2500,6000,,123615.9902,12059976,724679,66156,70695,5093,60887,325217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,333415
WV0451,WV,2012,3743,24000000,37,219000,Rail Joints,3,30771,4160,,33726.93727,3290400,220391,10824,59755,0,9011,67150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,336510
WV0450,WV,2012,2865,93000000,55,696960,coal tar pitch and creosote solutions,3,187393,8760,,118296.433,11541000,731248,0,0,0,200931,1287994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300388,2233606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,325192
WV0449,WV,2012,3955,44000000,98,88000,MICR toner and ribbons for printers,2,830000,3952,,32223.60599,3143735,210901,10801,66569,7025,5111,46865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,339944
WV0448,WV,2012,2819,30000000,68,43000,plastic bottles and technology assistance,3,100,6240,,12351.78352,1205040,105697,4901,31047,0,3688,26299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,325998
WV0447,WV,2012,2816,45000000,112,90000,Metallic Pigment,2,7000000,8568,,89800.73801,8760960,699279,23409,153326,0,9381,28554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,325131
WV0446,WV,2012,2087,100000000,200,110000,Flavors,2,10000000,8568,,99008.81509,9659300,924720,19071,45961,0,59431,414297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,311930
WV0445,WV,2012,3089,70000000,175,165000,Vinyl Siding,2,60000000,4368,,131452.6343,12824519,511119,26418,359203,0,6331,55733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,326199
WV0444,WV,2012,2491,40000000,63,10000,Treated Railroad Ties,0,3415565,8568,,32220.1517,3143398,121621,8281,122503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,321114
WV0443,WV,2012,3089,120000000,565,425000,Automobile Plastic Parts,2,120000000,8064,,323987.4539,31608216,1996901,63092,504774,0,148210,878400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,326199
