Years,Aluminum,Iron & Steel - MECs,Petroleum,Chemicals,Cement
1985,NA,1,1,1,NA
1986,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA
1988,NA,0.904164707,1.060258649,0.896822289,NA
1989,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA
1991,NA,0.847154726,1.012504467,0.980095885,NA
1992,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA
1994,NA,0.856717354,1.071606953,0.925568305,NA
1995,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA
1998,1,0.888331504,0.882267972,0.886777463,1
1999,0.974574687,0.854170189,0.853754163,NA,1.029821633
2000,1.028495674,0.769360285,0.850261564,NA,1.004851135
2001,1.377459863,0.798966267,0.823093434,NA,0.855200943
2002,1.336086682,0.781230532,0.824789588,0.904045432,0.886027736
2003,1.297768693,0.7472048,0.867580804,NA,0.802369032
2004,1.349207532,0.72985829,0.857204984,NA,0.841092028
2005,1.376393616,0.727593662,0.872999635,NA,0.865327634
2006,1.398717632,0.858420082,1.075846988,0.909213813,0.962677968
2007,1.084758755,0.843465393,1.108754702,NA,0.971854736
2008,1.111367521,0.899759594,1.334317673,NA,0.994071298
2009,0.981989119,0.991243499,1.070057816,NA,0.730721147
2010,1.138078334,0.904105666,1.052248238,NA,0.685945687
2011,1.008679848,0.913027713,NA,NA,NA
2012,NA,NA,NA,NA,NA
